Time,Right_Fx,Right_Fy,Right_Fz,Right_Mx,Right_My,Right_Mz,Left_Fx,Left_Fy,Left_Fz,Left_Mx,Left_My,Left_Mz
4.44,12.4291899929124,1.43912498353071,66.792478299331,-4.97105563143438,16.3341393612272,0.563564875121498,-9.0096120098853,15.2092012030913,607.84998493748,-209.736267566372,136.815099489616,-3.8702258629873
4.45,12.4530687607739,0.877290811177222,70.9914785238004,-5.18455002081683,17.2531697438507,0.688485494361363,-9.16270857685425,16.1234001712895,603.421916147538,-208.589759663527,135.911902772771,-4.03238685316009
4.46,12.3202094156948,0.3387047922005,74.5833687426382,-5.35457775575732,18.0117627808343,0.797880200745047,-9.23276050615095,17.0841241465687,599.560527495018,-207.590692224042,135.144980148353,-4.19499634665093
4.47,12.0810046520716,-0.146633343879119,77.6130415889339,-5.48690408812495,18.6291630926613,0.888321872713742,-9.27426558904687,18.04433776434,596.2412576939,-206.710033850345,134.499763936941,-4.35433869318539
4.48,11.7123507234671,-0.585636316658894,80.316147749152,-5.59706860380644,19.1574309399549,0.958812365500242,-9.27301167074781,18.9932497984011,593.247332228976,-205.907649072071,133.920750088111,-4.50875216235692
4.49,11.251984827899,-0.979376456862212,82.6724424908807,-5.68311992693207,19.595066430852,1.01278685209172,-9.26908956530653,19.9185483884396,590.613130797514,-205.166621660278,133.412695952341,-4.66232456812376
4.5,10.7155792960063,-1.33330813870475,84.7634674477154,-5.74896154356879,19.9639579510148,1.05346002176034,-9.28198846334579,20.81612751257,588.27021928669,-204.468617179117,132.952501499406,-4.81919424247738
4.51,10.1154308958492,-1.64807143195061,86.66905231084,-5.80190395335135,20.2834257197855,1.08183894892129,-9.32428577058625,21.664821266277,586.141007412587,-203.773528595321,132.519764475572,-4.97505531200268
4.52,9.44486971869694,-1.89767283777386,88.3659038097237,-5.84612635293774,20.5468936641631,1.09131020160153,-9.39277154575117,22.4920497150735,584.288842151403,-203.151054044942,132.120542218242,-5.15052387660633
4.53,8.73725150018645,-2.09983146648507,90.0017788733763,-5.89056667661455,20.7915000208246,1.08831414522883,-9.51196086816356,23.2296535700355,582.521780710512,-202.464686850804,131.712977222122,-5.31582673131882
4.54,7.98652560561789,-2.27213506172373,91.538827289043,-5.93206311410161,21.0078207574043,1.07642416334457,-9.67419431256068,23.9499038801647,580.912573573331,-201.791597898986,131.306032619812,-5.50005875005655
4.55,7.21897369017643,-2.41217606251178,93.0677382501535,-5.97810373024884,21.2190435628913,1.05692586876035,-9.89766472869893,24.6373309641309,579.361575513198,-201.099557736495,130.871979290188,-5.69876148425877
4.56,6.4667399015873,-2.51673202952352,94.6682024367052,-6.03534798203081,21.446545180044,1.03121740811574,-10.2053121688551,25.2891099257316,577.785208820983,-200.376095554775,130.384816378326,-5.91256867759003
4.57,5.73428364016935,-2.58737641338162,96.3551032133659,-6.10505896418286,21.6940944784363,0.999960066553406,-10.586328117271,25.9112480778936,576.162962723926,-199.619292616107,129.841594474501,-6.14105300004234
4.58,5.03193803104793,-2.62902115559842,98.1574304584252,-6.189334105548,21.9691207283577,0.964880238921634,-11.03362384526,26.5121529827114,574.457935379127,-198.825029571026,129.236307844063,-6.3836742534594
4.59,4.36850296930406,-2.64669402963736,100.074784528578,-6.28824475840485,22.2723593274583,0.927569289100966,-11.5345166705152,27.1163744387653,572.668654191271,-198.012457252072,128.573394089804,-6.64432492934872
